English,Spanish
check,comprobar
special,especial
prices,precios
website,sitio web
index,índice
being,ser
women,mujeres
much,mucho
sign,firmar
file,archivo
link,enlace
open,abrir
today,Hoy
technology,Tecnología
south,Sur
case,caso
project,proyecto
same,mismo
pages,Páginas
uk,Reino Unido
version,Versión
own,poseer
found,fundar
sports,deportivo
house,Casa
related,relacionado
security,seguridad
both,ambos
county,condado
american,americano
photo,foto
game,juego
members,Miembros
power,poder
while,mientras
care,cuidado
network,red
down,abajo
computer,ordenador
systems,Sistemas
three,Tres
total,total
place,lugar
end,fin
following,siguiente
download,descargar
him,él
without,sin
per,por
access,acceso
think,pensar
north,Norte
resources,Recursos
current,actual
posts,Mensajes
big,grande
media,Medio
law,ley
control,control
water,Agua
history,historia
pictures,Fotos
size,tamaño
art,arte
personal,personal
since,desde
including,Incluido
guide,guiar
shop,tienda
directory,directorio
board,tabla
location,ubicación
change,cambio
white,Blanco
text,Mensaje de texto
small,pequeño
rating,Clasificación
rate,tasa
government,gobierno
children,niños
during,durante
usa,Estados Unidos
return,devolución
students,estudiantes
shopping,compras
account,cuenta
times,veces
sites,Sitios
level,nivel
digital,digital
profile,perfil
previous,anterior
form,forma
events,Eventos
love,amar
old,viejo
john,John
main,principal
call,llamar
hours,horas
image,imagen
department,departamento
title,título
description,descripción
non,no
insurance,seguro
another,otro
why,por qué
shall,deber
property,propiedad
class,clase
cd,CD
still,todavía
money,dinero
quality,calidad
every,cada
listing,listado
content,contenido
country,país
private,privado
little,poco
visit,visitar
save,salvar
tools,herramientas
low,Bajo
reply,respuesta
customer,cliente
december,Diciembre
compare,comparar
movies,cine
include,incluír
college,universidad
value,valor
article,artículo
york,York
man,hombre
card,tarjeta
jobs,Trabajos
provide,proporcionar
food,víveres
source,fuente
author,autor
different,diferente
press,prensa
learn,aprender
sale,venta
around,alrededor
print,Impresión
course,curso
job,trabajo
canada,Canadá
process,proceso
teen,adolescente
room,cuarto
stock,acción
training,adiestramiento
too,también
credit,crédito
point,punto
join,juntar
science,ciencia
men,hombres
categories,Categorías
advanced,avanzado
west,Oeste
sales,ventas
english,Inglés
left,Izquierda
team,equipo
estate,propiedad
box,caja
conditions,condiciones
windows,Windows
photos,Fotos
gay,gay
thread,hilo
week,semana
category,categoría
note,nota
live,vivir
large,grande
gallery,galería
table,mesa
register,registro
however,sin embargo
june,Junio
october,Octubre
november,Noviembre
market,mercado
library,biblioteca
really,realmente
action,acción
start,empezar
series,serie
model,modelo
features,Funciones
air,aire
industry,industria
plan,plan
human,Humano
provided,con tal que
tv,televisión
yes,Sí
required,Obligatorio
second,segundo
hot,caliente
accessories,accesorios
cost,costar
forums,foros
march,Marzo
la,la
september,Septiembre
better,mejor
say,decir
questions,Preguntas
july,Julio
yahoo,Yahoo
going,ida
medical,médico
test,prueba
friend,amigo
come,venirse
dec,dic
server,servidor
pc,PC
study,estudiar
application,aplicación
cart,carro
staff,personal
articles,Artículos
san,San
feedback,retroalimentación
again,otra vez
play,jugar
looking,Mirando
issues,cuestiones
april,Abril
never,nunca
users,Usuarios
complete,íntegro
street,calle
topic,tema
comment,comentario
financial,financiero
things,cosas
working,laborable
against,contra
standard,estándar
tax,impuesto
person,persona
below,abajo
mobile,móvil
less,menos
got,Tiene
blog,blog
party,partido
payment,pago
equipment,equipo
login,Iniciar sesión
student,estudiante
let,dejar
programs,Programas
offers,Ofrece
above,encima
recent,reciente
park,parque
stores,reservas
side,lado
act,actuar
problem,problema
red,rojo
give,dar
memory,memoria
performance,rendimiento
social,social
august,Agosto
quote,citar
language,Idioma
story,cuento
sell,vender
options,Opciones
rates,Tarifas
create,crear
key,llave
body,cuerpo
young,joven
america,América
important,importante
field,campo
few,poco
east,Este
single,soltero
ii,Ii
age,edad
activities,Actividades
club,club
example,ejemplo
girls,Chicas
additional,adicional
password,contraseña
latest,último
something,algo
road,camino
gift,regalo
question,pregunta
changes,Cambios
night,Noche
ca,Ca
hard,duro
texas,Texas
oct,oct
pay,pagar
four,Cuatro
poker,póquer
status,estado
browse,hojear
range,gama
building,edificio
seller,vendedor
court,tribunal
february,Febrero
always,siempre
result,resultado
audio,audio
light,luz
write,escribir
war,guerra
nov,Nov
offer,ofrecer
blue,azul
groups,grupos
al,al
easy,fácil
given,dado
files,Archivos
event,evento
release,Lanzamiento
analysis,análisis
request,pedir
fax,fax
china,China
making,fabricación
picture,imagen
needs,necesidades
possible,posible
might,poder
professional,profesional
yet,todavía
month,mes
major,destacado
star,estrella
areas,Áreas
future,futuro
space,espacio
committee,comité
hand,mano
sun,sol
cards,naipes
problems,Problemas
london,Londres
washington,Washington
meeting,reunión
rss,RSS
become,hacerse
interest,interés
id,identificación
child,niño
keep,guardar
enter,entrar
california,California
porn,porno
share,Compartir
similar,Similar
garden,jardín
schools,escuelas
million,millón
added,Añadido
reference,referencia
companies,Empresas
listed,Listado
baby,bebé
learning,aprendizaje
energy,energía
run,correr
delivery,entrega
net,red
popular,popular
term,término
film,película
stories,Historias
put,poner
computers,Computadoras
journal,diario
reports,Informes
co,co
try,probar
welcome,bienvenido
central,central
images,Imágenes
president,presidente
notice,notar
god,dios
original,Texto original en
head,cabeza
radio,radio
until,hasta
cell,celda
color,Color
self,propio
council,consejo
away,lejos
includes,Incluye
track,pista
australia,Australia
discussion,discusión
archive,archivo
once,una vez
others,otros
entertainment,diversión
agreement,acuerdo
format,formato
least,menos
society,sociedad
months,Meses
log,registro
safety,seguridad
friends,amigos
sure,seguro
faq,Preguntas más frecuentes
trade,comercio
edition,edición
cars,Coches
messages,Mensajes
marketing,marketing
tell,decir
further,más lejos
updated,Actualizado
association,asociación
able,capaz
having,teniente
provides,Proporciona
david,David
fun,diversión
already,ya
green,verde
studies,Estudios
close,cerrar
common,común
drive,conducir
specific,específico
several,varios
gold,oro
feb,Feb
living,viviente
sep,Sep
collection,colección
called,llamado
short,corto
arts,artes
lot,lote
ask,preguntar
display,Monitor
limited,limitado
powered,Accionado
solutions,Soluciones
means,medio
director,director
daily,diario
beach,playa
past,pasado
natural,natural
whether,si
due,pendiente
et,Et
electronics,electrónica
five,Cinco
upon,sobre
period,periodo
planning,planificación
database,base de datos
says,Dice
official,oficial
weather,tiempo
mar,estropear
land,tierra
average,promedio
done,hecho
technical,técnico
window,ventana
france,Francia
pro,pro
region,región
island,isla
record,grabar
direct,directo
microsoft,Microsoft
conference,conferencia
environment,medio ambiente
records,archivo
st,c
district,distrito
calendar,calendario
costs,costos
style,estilo
url,URL
front,frente
statement,declaración
update,actualizar
parts,partes
aug,ago
ever,alguna vez
downloads,Descargas
early,temprano
miles,millas
sound,sonido
